,Name,Image,Page title (60 char),Site Keywords,Meta description (155 char),Google Search Preview,Product Description,Product Highlights,Additional Information,,,,,,,,,,,,,,,,,,,,
Vacuum Carafe,AHR-100 1.0L Stainless Steel Vacuum Carafe,,Stainless Steel Vacuum Carafe 1.0L – Peacock Malaysia,"peacock stainless steel vacuum carafe, heat retention, cold flask, hot flask, vacuum flask, peacock stainless steel sus 304 flask","The Peacock Stainless Steel Vacuum Carafe is perfect for storing hot water or cold drinks, vacuum insulated to retain heat for up to 10 hours.  ",,"The perfect coffee carafe for easy serving, whether at home or on the go. The Peacock Stainless Steel Vacuum Carafe is insulated to keep drinks hot or cold for up to 10 hours.


V2:
No time for refills? The Peacock Stainless Steel Vacuum Carafe is ideal as a coffee carafe for easy serving. Its long lasting heat retention will lock in flavour and freshness for the perfect cup, every time.","Easy to clean -  Simply pinch the stopper release and pull the stopper set out to dismantle.

Easy to dispense - Just press the pour lever and tilt the vacuum carafe to dispense beverage.

Wide mouth design - 50mm mouth width to fit large ice cubes for cold beverages.","Material: Anti-shock SUS304 stainless steel
Hot Retention (10HRS) : Above 67° C
Cold Retention (10HRS) : Below 10° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
"The Peacock Stainless Steel Vacuum Carafe is made of high quality stainless steel for safety and durability. Vacuum insulated to keep hot or cold for longer, it is ideal for storing and serving your favourite drinks. ",AHR-150 1.5L Stainless Steel Vacuum Carafe,,Stainless Steel Vacuum Carafe 1.5L – Peacock Malaysia,"peacock stainless steel vacuum carafe, heat retention, cold flask, hot flask, vacuum flask, peacock stainless steel sus 304 flask","The Peacock Stainless Steel Vacuum Carafe is made from high quality stainess steel, vacuum insulated to keep hot or cold drinks for easy dispensing.",,"Keep your favourite hot or cold beverage by your side with the Peacock Vacuum Carafe. Made of heat resistant stainless steel for the ultimate quality and durability. 


V2: 
No teatime is complete without the Peacock Stainless Steel Vacuum Carafe. Its excellent heat retention makes it ideal as a hot flask to store plenty of hot water for a fresh cup of tea whenever you like.","Easy to clean -  Simply pinch the stopper release and pull the stopper set out to dismantle.

Easy to dispense - Just press the pour lever and tilt the vacuum carafe to dispense beverage.

Wide mouth design - 50mm mouth width to fit large ice cubes for cold beverages.","Material: Anti-shock SUS304 stainless steel
Hot Retention (10HRS) : Above 71° C
Cold Retention (10HRS) : Below 9° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
,AHR-200 2.0L Stainless Steel Vacuum Carafe,,Stainless Steel Vacuum Carafe 2.0L – Peacock Malaysia,"peacock stainless steel vacuum carafe, heat retention, cold flask, hot flask, vacuum flask, peacock stainless steel sus 304 flask",The Peacock Stainless Steel Vacuum Carafe has excellent heat retention and high capacity for convenient storage of hot or cold drinks.,,"This Peacock Vacuum Carafe is a high-capacity thermal flask, perfect for storing hot or cold drinks for easy dispensing. Made of high quality SUS304 stainless steel with excellent heat retention.


V2:
Save time with the Peacock Stainless Steel Vacuum Carafe. Equipped with high capacity and excellent heat retention, it is perfect as a hot or cold flask for conveniently storing and serving your favourite drinks.","Easy to clean -  Simply pinch the stopper release and pull the stopper set out to dismantle.

Easy to dispense - Just press the pour lever and tilt the vacuum carafe to dispense beverage.

Wide mouth design - 50mm mouth width to fit large ice cubes for cold beverages.","Material: Anti-shock SUS304 stainless steel
Hot Retention (10HRS) : Above 76° C
Cold Retention (10HRS) : Below 8° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
One Touch Vacuum Bottle,AKM-55 0.55L Light Weight One Touch Bottle,,Lightweight Vacuum Bottle 0.55L – Peacock Malaysia,"peacock one touch vacuum bottle, lightweight vacuum bottle, heat retention, peacock stainless steel sus 304 flask","Keep The Peacock Lightweight Vacuum Bottle by your side, whether at home or on the go. Made of high quality SUS316 stainless steel for durability.",,"This reusable bottle from Peacock's Light Weight One Touch series is built for your convenience. Easy to carry and operate, with excellent heat retention for piping hot coffee or ice cold drinks. 


V2:
Whether at home or out and about, the Peacock Lightweight Vacuum Bottle is ideal for storing your favourite drinks for a quick sip anywhere and anytime. Made from high quality SUS316 stainless steel to withstand the rigours of everyday use.","Convenient to use - Lightweight, with an easy to clean stopper and gaskets.

SUS316 stainless steel - Durable and suitable for sports beverages.

Slide to open safety lock – Leak-proof and easy to operate one-handed.

Easy to drink - Improved mouth design allows more concentrated water flow for faster drinking.","Material: Vacuum insulated SUS316 stainless steel
Mouth diameter: 44mm 
Hot Retention (6HRS)   : Above 65° C
Hot Retention (1HRS)   : Above 86° C
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. ",,,,,,,,,,,,,,,,,,,
"Enjoy a quick drink with the Peacock One Touch Vacuum Bottle, designed for convenient, on-the-go hydration. Made from vacuum insulated stainless steel with excellent heat retention capability.",AMO-500 0.50L Light Weight Slim Bottle,,Lightweight Vacuum Bottle 0.5L – Peacock Malaysia,"peacock one touch vacuum bottle, lightweight vacuum bottle, heat retention, peacock stainless steel sus 304 flask",The Peacock Lightweight Vacuum Bottle is perfect for bringing hot or cold drinks on the go! Sleek and practical for all-day hydration.,,"Practical and easy to use, this lightweight vacuum bottle is great for bringing drinks on the go. Effortlessly keeps coffee hot or water ice cold for a refreshing sip wherever you are!


V2:
The Peacock Lightweight Vacuum Bottle is stylish yet practical for everyday use. Its slim design makes it easy to slip into a bag or any cup holder for staying hydrated during any activity.","Convenient to use - Lightweight, with an easy to clean stopper and gaskets.

Seamless design - Easy to hold and store.

Leak-proof lock ring – Keeps your drink safe to avoid spills.

Detachable stopper - Stopper can be detatched for easy and thorough cleaning.","Material: Vacuum insulated SUS304 stainless steel
Mouth diameter: 44mm 
Hot Retention (6HRS)   : Above 66° C
Hot Retention (1HRS)   : Above 85° C
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","- With leak proof ""lock ring""safety lock design.        
- Seamless bottle design.                      
- Detachable stopper set east to clean all the parts thoroughly.                             
- SUS304",,,,,,,,,,,,,,,,,,,
,AMY-55 0.55L Light Weight One Touch Bottle,,Lightweight Vacuum Bottle 0.55L – Peacock Malaysia,"peacock one touch vacuum bottle, lightweight vacuum bottle, heat retention, peacock stainless steel sus 304 flask","The Peacock Lightweight Vacuum Bottle is your perfect companion for staying hydrated, whether at home or on the go.",,"Easily store hot or cold drinks to carry on the go! This vacuum insulated bottle by Peacock is designed for convenience and easy to use, with excellent temperature retention up to 10 hours.


V2:
Enjoy worry-free use with the Peacock Lightweight Vacuum Bottle! The ""one touch"" stopper allows easy one-handed drinking for busy people, while the leak-proof safety lock prevents any unwanted spills.","Convenient to use - Lightweight, with an easy to clean stopper and gaskets.

Durable - Made of high quality stainless steel, suitable for sports beverages.

Slide to open safety lock – Leak-proof and easy to operate one-handed.

Easy to drink - Improved mouth design allows more concentrated water flow for faster drinking.","Material: Vacuum insulated SUS304 stainless steel
Mouth diameter: 44mm 
Hot Retention (6HRS)   : Above 65° C
Hot Retention (1HRS)   : Above 86° C
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","- SUS304 inner bottle, suitable for sports beverages.                                     
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. ",,,,,,,,,,,,,,,,,,,
,AMY-70 0.70L Light Weight One Touch Bottle,,Lightweight Vacuum Bottle 0.7L – Peacock Malaysia,"peacock one touch vacuum bottle, lightweight vacuum bottle, heat retention, peacock stainless steel sus 304 flask","The Peacock Lightweight Vacuum Insulated Bottle is ideal for storing hot or cold drinks, with up to 6 hours of heat retention to preserve its best flavour.",,"Always have your favourite drinks on hand with the Peacock One Touch Lightweight Vacuum Bottle. This sleek thermal flask prevents unwanted spills with ""safety lock"" for worry-free use. 


V2:
Whether at home or on-the-go, keep the Peacock Lightweight Bottle by your side for easy hydration. Available in a variety of sleek colours, just fill it up and slip it into your bag to enjoy your favourite drink, anywhere.

","Convenient to use - Lightweight, with an easy to clean stopper and gaskets.

Durable - Made of high quality stainless steel, suitable for sports beverages.

Slide to open safety lock – Leak-proof and easy to operate one-handed.

Easy to drink - Improved mouth design allows more concentrated water flow for faster drinking.","Material: Vacuum insulated SUS304 stainless steel
Mouth diameter: 44mm 
Hot Retention (6HRS)   : Above 68° C
Hot Retention (1HRS)   : Above 87° C
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","- SUS304 inner bottle, suitable for sports beverages.                                     
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. ",,,,,,,,,,,,,,,,,,,
Lifestyle Vacuum Bottle,AAC-30 0.30L Twist Lock Tumbler,,Lifestyle Twist Lock Vacuum Tumbler 0.3L – Peacock Malaysia,"peacock lifestyle vacuum bottle, vacuum insulated bottle, heat retention, coffee flask, tea bottle, travel bottle, peacock stainless steel sus 304 flask",Make the Peacock Lifestyle Twist Lock Tumbler your go-to coffee flask! Perfect for keeping drinks piping hot or icy cold for up to 10 hours.,,"Take a break while out and about with the Peacock Lifestyle Vacuum Tumbler. Ideal for storing your favourite hot or cold drinks, with excellent heat retention for up to 10 hours.


V2:
Conveniently bring hot coffee on your daily commute with the Peacock Lifestyle Twist Lock Tumbler. Its simple and elegant design is easy to operate, so you can enjoy your favourite beverage on the go.","Twist to drink - Turn the lid 180° counterclockwise to enjoy your beverage.

Easy to clean - Stopper is easy to disassemble and clean thoroughly.

Wide mouth design - 49mm mouth width easily fits ice cubes for cold beverages.
","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (10HRS) : Above 64° C
Hot Retention (1HRS) : Above 85° C
Cold Retention (10HRS) : Below 10° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
"Perfect for matching any lifestyle, Peacock Lifestyle Vacuum Bottles are stylish, durable and convenient to use, keeping hot drinks piping hot and cold drinks icy cold.",AAC-45 0.45L Twist Lock Tumbler,,Lifestyle Twist Lock Vacuum Tumbler 0.45L – Peacock Malaysia,"peacock lifestyle vacuum bottle, vacuum insulated bottle, heat retention, coffee flask, tea bottle, travel bottle, peacock stainless steel sus 304 flask",The Peacock Lifestyle Twist Lock Tumbler is the ideal tea bottle for a refreshing sip wherever you are.,,"The Peacock Twist Lock Tumbler is excellent as a coffee flask or tea bottle. Durable and easy to clean, it easily stores and retains the temperature of your hot or cold beverages.

V2:
Take your favourite hot or cold drinks with you wherever you go with the Peacock Lifestyle Twist Lock Tumbler. Its simple and elegant design is perfect to match your style for any occassion.","Twist to drink - Turn the lid 180° counterclockwise to enjoy your beverage.

Easy to clean - Stopper is easy to disassemble and clean thoroughly.

Wide mouth design - 49mm mouth width easily fits ice cubes for cold beverages.
","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (10HRS) : Above 70° C
Hot Retention (1HRS) : Above 88° C
Cold Retention (10HRS) : Below 10° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
,AKS-R40 0.40L Lifestyle Twist Cap Tumbler with Handle,,Lifestyle Twist Cap Vacuum Tumbler 0.4L – Peacock Malaysia,"peacock lifestyle vacuum bottle, vacuum insulated bottle, heat retention, coffee flask, tea bottle, travel bottle, peacock stainless steel sus 316 flask","The Peacock Lifestyle Twist Cap Vacuum Tumbler comes in 3 stunning colours, stylishly designed for any outing.",,"No day out is complete without the Peacock Lifestyle Twist Cap Tumbler. With a convenient handle, this stylish vacuum insulated tumbler is lightweight and easy to carry for storing your favourite hot or cold drinks.

V2:
Elevate your style with the Peacock Lifestyle Twist Cap Vacuum Tumbler! Its simple and minimalist design is easy to match with any outfit, while its convenient handle makes carrying almost effortless.

V3:
Chill out with the perfect cup of coffee served piping hot (or icy cold!) in the Peacock Lifestyle Twist Cap Tumbler. It's lightweight and easy to carry, while keeping your drink fresh with its excellent heat retention capability. ","SUS316 stainless steel - Rust-resistant, vacuum insulated bottle with a powder-coated finish (lightly textured coating).

100% leak-proof and durable - Leak-proof, equipped with a handle and detachable anti-shock bottom cover to protect your bottle.

Wide mouth diameter - 55mm wide mouth lets you enjoy the rich aroma of coffee and easily fits ice cubes for cold beverages. 

Comfortable to use - Tapered metal edge of bottle mouth mimics the rim of a glass for comfortable drinking.","Material: Vacuum insulated SUS316 stainless steel
Lid: Antimicrobial plastic with silicone gasket.
Hot Retention (6HRS) : Above 60° C
Hot Retention (1HRS) : Above 84° C
Cold Retention (6HRS) : Below 12° C
Warranty: 5 years (T&C apply)","- Bottle mouth with tapered metal edge tha mimics the rim of a glass.                                                                 
- 100% leak proof lid with handle.
- 55mm mouth wide- ",,,,,,,,,,,,,,,,,,,
