SKU,COLOR,PRODUCT NAME,CAPACITY (ML),"PACKAGE DIMENSIONS (CM)
W X D X H",PACKAGE WEIGHT (KG),Material,PRODUCT DESCRIPTION / USP,HEAT / COLD RETENTION
AHR-100,"Stainless Steel
Red",1.0L Stainless Steel Vacuum Carafe,1.0L,15 X 13 X 20.3,0.75,SUS304,"- Simply pinch the stopper release and pull the stopper set out.                           
- Easy to dispense with pour lever. Simply press the lever and tilt the vacuum carafe when dispensing water.                             
- Wide mouth design-with 50mm mouth width, large ice cubes can be put into the pot for your cold beverages.                          
- Made of stainless steel.
- Vacuum insulated keep beverages hot or cold longer.","

- Hot Retention (10HRS) : Above 67° C 
- Cold Retention (10HRS) : Below 10° C"
AHR-150,"Stainless Steel
Red",1.5L Stainless Steel Vacuum Carafe,1.5L,15 X 13 X 24.4,0.87,SUS304,"- Simply pinch the stopper release and pull the stopper set out.                           
- Easy to dispense with pour lever. Simply press the lever and tilt the vacuum carafe when dispensing water.                             
- Wide mouth design-with 50mm mouth width, large ice cubes can be put into the pot for your cold beverages.                          
- Made of stainless steel.
- Vacuum insulated keep beverages hot or cold longer.","

- Hot Retention (10HRS) : Above 71° C 
- Cold Retention (10HRS) : Below 9° C"
AHR-200,"Stainless Steel
Red",2.0L Stainless Steel Vacuum Carafe,2.0L,15 X 13 X 28.7,0.98,SUS304,"- Simply pinch the stopper release and pull the stopper set out.                           
- Easy to dispense with pour lever. Simply press the lever and tilt the vacuum carafe when dispensing water.                             
- Wide mouth design-with 50mm mouth width, large ice cubes can be put into the pot for your cold beverages.                          
- Made of stainless steel.
- Vacuum insulated keep beverages hot or cold longer.","- Hot Retention (10HRS) : Above 76° C 
- Cold Retention (10HRS) : Below 8° C"
AHW-100,Red,1.0L Stainless Steel Vacuum Living Room Carafe,1.0L,13.5 X 10.5 X 24.1,0.83,SUS304,"- Easy to clean with simple design.
- Turn the rib towards the mouth when pouring water.
- Easy to clean with 7.6cm wide mouth design.","- Hot Retention (10HRS) : Above 64° C 
- Cold Retention (10HRS) : Below 10° C"
AKM-40,"Dark Navy 
Rose Pink
Fresh Gray",400ML SUS316 Light Weight One Touch Bottle ,400ML,,,SUS316,"- SUS316 inner bottle, suitable for sports beverages.                                     
- Vacuum insulated keep hot or cold longer.               
- Lightweight one touch bottle.         
- ""Safety Lock"" - safe to carry around without leaking.  
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. 
- With 44mm diameter mouth width, large ice cube easily put into bottle.","- Hot Retention (6HRS) : Above 59° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (6HRS) : Below 10° C"
AKM-55,"Dark Navy 
Rose Pink
Fresh Gray",550ML SUS316 Light Weight One Touch Bottle ,550ML,7.4 X 7 X 24.7,0.29,SUS316,"- SUS316 inner bottle, suitable for sports beverages.                                     
- Vacuum insulated keep hot or cold longer.               
- Lightweight one touch bottle.         
- ""Safety Lock"" - safe to carry around without leaking.  
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. 
- With 44mm diameter mouth width, large ice cube easily put into bottle.","- Hot Retention (6HRS) : Above 65° C 
- Hot Retention (1HRS) : Above 86° C
- Cold Retention (6HRS) : Below 9° C"
AKM-70,"Dark Navy 
Rose Pink
Fresh Gray",700ML SUS316 Light Weight One Touch Bottle ,700ML,7.8 X 7.8 X 26.2,0.34,SUS316,"- SUS316 inner bottle, suitable for sports beverages.                                     
- Vacuum insulated keep hot or cold longer.               
- Lightweight one touch bottle.         
- ""Safety Lock"" - safe to carry around without leaking.  
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. 
- With 44mm diameter mouth width, large ice cube easily put into bottle.","- Hot Retention (6HRS) : Above 68° C 
- Hot Retention (1HRS) : Above 87° C
- Cold Retention (6HRS) : Below 9° C"
AMY-55,"Red
Sky Blue
Black",550ML Light Weight One Touch Bottle ,550ML,7.2 X 7.1 X 24.6,0.28,SUS304,"- SUS304 inner bottle, suitable for sports beverages.                                     
- Vacuum insulated keep hot or cold longer.               
- Lightweight one touch bottle.         
- ""Safety Lock"" - safe to carry around without leaking.  
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. 
- With 44mm diameter mouth width, large ice cube easily put into bottle.","- Hot Retention (6HRS) : Above 65° C 
- Hot Retention (1HRS) : Above 86° C
- Cold Retention (6HRS) : Below 9° C"
AMY-70,"Red
Sky Blue
Black",700ML Light Weight One Touch Bottle ,700ML,8 X 7.7 X 26.2,0.34,SUS304,"- SUS304 Vacuum insulated keep hot or cold longer.               
- Lightweight one touch bottle.         
- ""Safety Lock"" - safe to carry around without leaking.  
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. 
- With 44mm diameter mouth width, large ice cube easily put into bottle.","- Hot Retention (6HRS) : Above 68° C 
- Hot Retention (1HRS) : Above 87° C
- Cold Retention (6HRS) : Below 9° C"
AKF-350,"Red 
Khaki
Brown",350ML Light Weight Slim Bottle,350ML,6.4 X 7.5 X 18.2,0.2,SUS304,"- With leak proof ""lock ring""safety lock design.   
- Safe to carry around without leaking.
- Vacuum insulated keep hot or cold longer.               
- Seamless bottle design.                      
- Detachable stopper set east to clean all the parts thoroughly.                             
 - 44mm mouth width, even ice cubes can be put into the bottle easily. ","- Hot Retention (10HRS) : Above 59° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (10HRS) : Below 10° C"
